"#","Statium","Roof Type","Surface Type","Field Goals Made","Field Goals Missed","Temperture","Realtive Humitity","Wind Speed","Wind Chill"
48,PSINet Stadium,outdoors,grass,3,3,70,87,5,0
49,Pro Player Stadium,outdoors,grass,2,3,88,63,12,0
50,Texas Stadium,outdoors,astroturf,3,3,64,93,20,0
51,Sun Devil Stadium,outdoors,grass,6,6,87,16,6,0
52,Qualcomm Stadium,outdoors,grass,6,7,72,52,9,0
53,Raymond James Stadium,outdoors,grass,3,3,82,89,9,0
54,Mile High Stadium,outdoors,grass,4,5,36,81,8,26
55,Network Associates Coliseum,outdoors,grass,3,4,76,35,5,0
56,Giants Stadium,outdoors,grass,1,2,64,75,9,0
57,RCA Dome,dome,astroturf,2,2,N/A,N/A,N/A,N/A
58,Ralph Wilson Stadium,outdoors,astroturf,4,4,70,52,10,0
59,Pontiac Silverdome,dome,astroturf,2,3,N/A,N/A,N/A,N/A
60,Ericsson Stadium,outdoors,grass,4,5,71,58,14,0
61,TWA Dome,dome,astroturf,6,7,N/A,N/A,N/A,N/A
62,Cleveland Browns Stadium,outdoors,grass,4,5,70,59,8,0
63,Alltel Stadium,outdoors,grass,3,3,76,0,14,0
64,Adelphia Coliseum,outdoors,grass,0,1,72,84,5,0
65,Paul Brown Stadium,outdoors,grass,4,4,76,78,6,0
66,Mile High Stadium,outdoors,grass,1,2,80,18,6,0
67,Lambeau Field,outdoors,grass,3,4,72,56,12,0
68,3Com Park,outdoors,grass,4,5,72,58,10,0
69,FedExField,outdoors,grass,3,5,68,87,6,0
70,Veterans Stadium,outdoors,astroturf,4,4,68,59,8,0
71,Arrowhead Stadium,outdoors,grass,2,3,74,53,8,0
72,Paul Brown Stadium,outdoors,grass,3,6,44,83,10,0
73,Pontiac Silverdome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
74,Giants Stadium,outdoors,grass,3,4,54,72,10,0
75,Pro Player Stadium,outdoors,grass,4,4,N/A,N/A,N/A,N/A
76,Foxboro Stadium,outdoors,grass,4,4,55,0,20,0
77,Veterans Stadium,outdoors,astroturf,1,3,49,56,10,N/A
78,Soldier Field,outdoors,grass,2,3,47,45,16,0
79,3Com Park,outdoors,grass,2,5,66,60,10,0
80,Georgia Dome,dome,astroturf,4,5,N/A,N/A,N/A,N/A
81,Ericsson Stadium,outdoors,grass,5,6,50,39,8,0
82,Sun Devil Stadium,outdoors,grass,3,4,87,25,15,0
83,Qualcomm Stadium,outdoors,grass,0,1,68,82,7,0
84,Alltel Stadium,outdoors,grass,6,7,62,0,11,0
85,Hubert H. Humphrey Metrodome,dome,astroturf,6,8,N/A,N/A,N/A,N/A
86,Arrowhead Stadium,outdoors,grass,3,6,62,96,8,0
87,Ralph Wilson Stadium,outdoors,astroturf,3,3,63,78,7,0
88,Three Rivers Stadium,outdoors,astroturf,2,2,61,0,0,0
89,FedExField,outdoors,grass,2,2,75,70,0,0
90,TWA Dome,dome,astroturf,0,0,N/A,N/A,N/A,N/A
91,Giants Stadium,outdoors,grass,2,2,75,60,7,0
92,Louisiana Superdome,dome,astroturf,3,4,N/A,N/A,N/A,N/A
93,Foxboro Stadium,outdoors,grass,3,4,76,0,10,0
94,Husky Stadium,outdoors,fieldturf,4,5,45,70,10,0
95,Mile High Stadium,outdoors,grass,4,5,59,32,7,N/A
96,Sun Devil Stadium,outdoors,grass,2,2,80,24,3,0
97,Lambeau Field,outdoors,grass,1,1,54,74,4,0
98,Soldier Field,outdoors,grass,1,1,56,80,7,0
99,Adelphia Coliseum,outdoors,grass,4,5,74,52,6,0
100,Raymond James Stadium,outdoors,grass,6,7,76,72,5,0
101,Paul Brown Stadium,outdoors,grass,1,3,73,88,2,0
102,RCA Dome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
103,Texas Stadium,outdoors,astroturf,2,2,70,100,10,0
104,Arrowhead Stadium,outdoors,grass,2,3,64,90,14,0
105,Ericsson Stadium,outdoors,grass,3,3,76,48,7,0
106,Hubert H. Humphrey Metrodome,dome,astroturf,5,5,N/A,N/A,N/A,N/A
107,PSINet Stadium,outdoors,grass,2,2,64,0,10,0
108,Veterans Stadium,outdoors,astroturf,5,5,59,51,10,0
109,Georgia Dome,dome,astroturf,2,3,N/A,N/A,N/A,N/A
110,Three Rivers Stadium,outdoors,astroturf,5,6,75,0,0,0
111,Network Associates Coliseum,outdoors,grass,2,3,70,18,31,0
112,Alltel Stadium,outdoors,grass,3,3,79,0,15,0
113,Giants Stadium,outdoors,grass,5,6,51,96,3,0
114,Ralph Wilson Stadium,outdoors,astroturf,5,6,46,41,6,0
115,Raymond James Stadium,outdoors,grass,4,4,82,74,7,0
116,Georgia Dome,dome,astroturf,6,8,N/A,N/A,N/A,N/A
117,Pro Player Stadium,outdoors,grass,2,3,81,50,13,0
118,PSINet Stadium,outdoors,grass,3,3,53,0,15,N/A
119,Cleveland Browns Stadium,outdoors,grass,2,2,50,0,5,0
120,RCA Dome,dome,astroturf,1,2,N/A,N/A,N/A,N/A
121,Sun Devil Stadium,outdoors,grass,1,4,70,49,9,0
122,3Com Park,outdoors,grass,3,5,60,65,13,0
123,Giants Stadium,outdoors,grass,1,2,45,52,18,N/A
124,Texas Stadium,outdoors,astroturf,2,3,72,90,10,0
125,Husky Stadium,outdoors,fieldturf,3,3,52,80,5,0
126,Qualcomm Stadium,outdoors,grass,5,7,63,82,8,0
127,FedExField,outdoors,grass,2,2,54,38,9,0
128,Pontiac Silverdome,dome,astroturf,3,3,N/A,N/A,N/A,N/A
129,Georgia Dome,dome,astroturf,2,2,N/A,N/A,N/A,N/A
130,Soldier Field,outdoors,grass,3,3,57,40,12,0
131,Louisiana Superdome,dome,astroturf,1,2,N/A,N/A,N/A,N/A
132,Foxboro Stadium,outdoors,grass,5,5,46,95,20,0
133,Paul Brown Stadium,outdoors,grass,2,2,57,56,5,0
134,Cleveland Browns Stadium,outdoors,grass,2,2,49,0,6,0
135,Adelphia Coliseum,outdoors,grass,3,4,56,64,9,0
136,Veterans Stadium,outdoors,astroturf,5,6,52,53,18,0
137,Network Associates Coliseum,outdoors,grass,1,2,66,77,7,0
138,Sun Devil Stadium,outdoors,grass,4,7,65,52,8,0
139,Giants Stadium,outdoors,grass,6,6,51,50,20,0
140,Husky Stadium,outdoors,fieldturf,4,5,48,100,8,N/A
141,TWA Dome,dome,astroturf,5,7,N/A,N/A,N/A,N/A
142,Lambeau Field,outdoors,grass,4,4,50,77,19,0
143,Texas Stadium,outdoors,astroturf,5,8,50,93,15,0
144,Hubert H. Humphrey Metrodome,dome,astroturf,1,1,N/A,N/A,N/A,N/A
145,Pontiac Silverdome,dome,astroturf,3,3,N/A,N/A,N/A,N/A
146,Three Rivers Stadium,outdoors,astroturf,7,8,47,82,7,0
147,Ralph Wilson Stadium,outdoors,astroturf,3,4,40,82,10,0
148,Ericsson Stadium,outdoors,grass,3,4,57,48,3,0
149,Alltel Stadium,outdoors,grass,0,0,69,0,5,0
150,Cleveland Browns Stadium,outdoors,grass,5,5,44,0,6,0
151,Adelphia Coliseum,outdoors,grass,2,3,56,61,3,0
152,3Com Park,outdoors,grass,0,2,54,61,0,0
153,Qualcomm Stadium,outdoors,grass,1,2,63,69,7,0
154,Giants Stadium,outdoors,grass,2,3,54,62,8,0
155,Raymond James Stadium,outdoors,grass,5,6,75,51,7,0
156,RCA Dome,dome,astroturf,3,5,N/A,N/A,N/A,N/A
157,Mile High Stadium,outdoors,grass,3,3,20,37,3,20
158,Arrowhead Stadium,outdoors,grass,1,2,46,52,15,0
159,Hubert H. Humphrey Metrodome,dome,astroturf,2,2,N/A,N/A,N/A,N/A
160,Lambeau Field,outdoors,grass,2,3,27,93,8,16
161,Louisiana Superdome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
162,Foxboro Stadium,outdoors,grass,5,6,47,0,15,0
163,Veterans Stadium,outdoors,astroturf,3,3,39,55,10,26
164,Giants Stadium,outdoors,grass,1,2,40,58,9,29
165,Adelphia Coliseum,outdoors,grass,2,2,44,38,6,N/A
166,Soldier Field,outdoors,grass,3,4,37,64,15,16
167,Mile High Stadium,outdoors,grass,4,5,39,49,13,23
168,Pro Player Stadium,outdoors,grass,3,3,83,63,12,0
169,PSINet Stadium,outdoors,grass,2,4,43,49,3,0
170,3Com Park,outdoors,grass,5,5,57,60,3,0
171,Three Rivers Stadium,outdoors,astroturf,3,4,35,45,6,0
172,TWA Dome,dome,astroturf,6,6,N/A,N/A,N/A,N/A
173,Pontiac Silverdome,dome,astroturf,5,5,N/A,N/A,N/A,N/A
174,Texas Stadium,outdoors,astroturf,5,6,55,93,0,0
175,Raymond James Stadium,outdoors,grass,2,3,67,95,5,0
176,PSINet Stadium,outdoors,grass,3,3,55,97,7,0
177,FedExField,outdoors,grass,5,6,50,88,5,0
178,Paul Brown Stadium,outdoors,grass,2,2,46,89,12,0
179,Giants Stadium,outdoors,grass,2,3,53,100,6,0
180,TWA Dome,dome,astroturf,2,3,N/A,N/A,N/A,N/A
181,Network Associates Coliseum,outdoors,grass,2,2,57,60,8,0
182,RCA Dome,dome,astroturf,1,2,N/A,N/A,N/A,N/A
183,Alltel Stadium,outdoors,grass,5,6,62,0,7,0
184,Qualcomm Stadium,outdoors,grass,4,4,69,66,8,0
185,Husky Stadium,outdoors,fieldturf,2,2,48,90,9,N/A
186,Sun Devil Stadium,outdoors,grass,1,1,64,25,3,0
187,Ericsson Stadium,outdoors,grass,1,1,46,69,3,0
188,Hubert H. Humphrey Metrodome,dome,astroturf,2,2,N/A,N/A,N/A,N/A
189,Three Rivers Stadium,outdoors,astroturf,2,3,33,88,5,0
190,Raymond James Stadium,outdoors,grass,2,3,63,82,12,0
191,FedExField,outdoors,grass,3,5,30,62,14,3
192,Ralph Wilson Stadium,outdoors,astroturf,4,5,27,75,6,16
193,Paul Brown Stadium,outdoors,grass,1,4,32,63,12,18
194,Louisiana Superdome,dome,astroturf,4,5,N/A,N/A,N/A,N/A
195,Veterans Stadium,outdoors,astroturf,7,7,30,39,7,22
196,Ericsson Stadium,outdoors,grass,4,4,34,50,16,13
197,Georgia Dome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
198,Qualcomm Stadium,outdoors,grass,4,4,66,71,9,0
199,Giants Stadium,outdoors,grass,3,4,35,32,5,28
200,Alltel Stadium,outdoors,grass,2,2,46,0,10,0
201,Soldier Field,outdoors,grass,2,2,33,77,6,21
202,Foxboro Stadium,outdoors,grass,4,5,45,42,10,0
203,Arrowhead Stadium,outdoors,grass,3,4,N/A,N/A,N/A,N/A
204,Soldier Field,outdoors,grass,2,3,36,85,12,17
205,Lambeau Field,outdoors,grass,6,7,25,74,13,5
206,Alltel Stadium,outdoors,grass,4,5,61,0,6,0
207,Pro Player Stadium,outdoors,grass,5,6,73,96,5,0
208,PSINet Stadium,outdoors,grass,2,2,39,62,2,0
209,Cleveland Browns Stadium,outdoors,grass,1,1,33,0,6,19
210,Giants Stadium,outdoors,grass,4,6,37,67,7,30
211,Adelphia Coliseum,outdoors,grass,1,1,52,80,7,0
212,Mile High Stadium,outdoors,grass,2,2,22,91,10,6
213,Texas Stadium,outdoors,astroturf,4,5,66,72,0,0
214,TWA Dome,dome,astroturf,2,2,N/A,N/A,N/A,N/A
215,3Com Park,outdoors,grass,3,3,55,80,13,0
216,Network Associates Coliseum,outdoors,grass,1,1,54,74,9,0
217,RCA Dome,dome,astroturf,5,5,N/A,N/A,N/A,N/A
218,Three Rivers Stadium,outdoors,astroturf,2,2,44,79,0,0
219,Husky Stadium,outdoors,fieldturf,3,4,52,63,21,0
220,Arrowhead Stadium,outdoors,grass,2,3,9,61,6,-1
221,Hubert H. Humphrey Metrodome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
222,Ralph Wilson Stadium,outdoors,astroturf,3,6,35,85,25,6
223,Paul Brown Stadium,outdoors,grass,1,2,9,72,20,-20
224,Giants Stadium,outdoors,grass,1,3,63,100,20,0
225,Cleveland Browns Stadium,outdoors,grass,1,1,20,0,35,-10
226,Louisiana Superdome,dome,astroturf,3,3,N/A,N/A,N/A,N/A
227,Ericsson Stadium,outdoors,grass,1,2,36,67,15,12
228,3Com Park,outdoors,grass,1,2,58,68,6,0
229,Sun Devil Stadium,outdoors,grass,2,3,68,16,3,0
230,Pro Player Stadium,outdoors,grass,4,4,81,64,0,0
231,Texas Stadium,outdoors,astroturf,3,5,41,48,5,0
232,Raymond James Stadium,outdoors,grass,1,1,49,71,5,0
233,Giants Stadium,outdoors,grass,1,2,23,43,12,5
234,Mile High Stadium,outdoors,grass,2,4,45,31,7,N/A
235,Husky Stadium,outdoors,fieldturf,1,2,41,100,3,0
236,FedExField,outdoors,grass,3,4,34,55,7,0
237,Pontiac Silverdome,dome,astroturf,5,5,N/A,N/A,N/A,N/A
238,Lambeau Field,outdoors,grass,3,4,15,61,15,-15
239,Louisiana Superdome,dome,astroturf,2,2,N/A,N/A,N/A,N/A
240,Foxboro Stadium,outdoors,grass,3,5,31,0,10,0
241,PSINet Stadium,outdoors,grass,3,4,36,42,5,N/A
242,Veterans Stadium,outdoors,astroturf,3,5,31,51,7,23
243,Georgia Dome,dome,astroturf,5,6,N/A,N/A,N/A,N/A
244,Qualcomm Stadium,outdoors,grass,2,2,62,63,8,0
245,RCA Dome,dome,astroturf,2,2,N/A,N/A,N/A,N/A
246,Network Associates Coliseum,outdoors,grass,4,4,56,77,8,0
247,Adelphia Coliseum,outdoors,grass,1,1,29,35,10,14
248,Pro Player Stadium,outdoors,grass,4,6,59,58,12,0
249,Louisiana Superdome,dome,astroturf,1,1,N/A,N/A,N/A,N/A
250,PSINet Stadium,outdoors,grass,1,1,22,49,20,5
251,Veterans Stadium,outdoors,astroturf,1,2,34,44,18,11
252,Hubert H. Humphrey Metrodome,dome,astroturf,3,3,N/A,N/A,N/A,N/A
253,Network Associates Coliseum,outdoors,grass,2,3,58,57,6,0
254,Adelphia Coliseum,outdoors,grass,2,5,48,42,6,N/A
255,Giants Stadium,outdoors,grass,3,4,39,62,5,N/A
256,Giants Stadium,outdoors,grass,2,3,35,76,5,N/A
257,Network Associates Coliseum,outdoors,grass,4,5,56,60,12,0
258,Raymond James Stadium,outdoors,grass,2,3,65,0,8,0
259,Arrowhead Stadium,outdoors,grass,5,6,64,78,12,0
260,Lambeau Field,outdoors,grass,2,3,60,93,5,0
261,Texas Stadium,outdoors,astroturf,3,4,69,83,10,0
262,Hubert H. Humphrey Metrodome,dome,astroturf,1,2,N/A,N/A,N/A,N/A
263,Cleveland Browns Stadium,outdoors,grass,5,7,81,78,12,0
264,PSINet Stadium,outdoors,grass,3,5,83,66,10,0
265,Paul Brown Stadium,outdoors,grass,4,4,79,87,8,0
266,Giants Stadium,outdoors,grass,2,2,81,81,6,0
267,Ralph Wilson Stadium,outdoors,astroturf,3,3,87,52,10,0
268,Alltel Stadium,outdoors,grass,1,2,83,0,10,0
269,3Com Park,outdoors,grass,5,5,68,63,12,0
270,Qualcomm Stadium,outdoors,grass,4,4,68,59,8,0
271,Veterans Stadium,outdoors,fieldturf,3,3,82,56,5,0
272,Adelphia Coliseum,outdoors,grass,2,2,81,69,7,N/A
273,Invesco Field at Mile High,outdoors,grass,1,3,75,18,9,0
274,Arrowhead Stadium,outdoors,grass,3,4,64,63,14,0
275,Soldier Field,outdoors,grass,2,2,63,97,5,0
276,RCA Dome,dome,astroturf,2,4,N/A,N/A,N/A,N/A
277,Alltel Stadium,outdoors,grass,4,6,84,0,10,0
278,Pro Player Stadium,outdoors,grass,4,4,88,69,9,0
279,Paul Brown Stadium,outdoors,grass,1,4,73,64,8,0
280,Georgia Dome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
281,Texas Stadium,outdoors,astroturf,4,5,79,79,0,0
282,Cleveland Browns Stadium,outdoors,grass,1,2,66,60,6,0
283,Foxboro Stadium,outdoors,grass,2,2,74,89,10,0
284,Husky Stadium,outdoors,fieldturf,3,4,65,75,4,0
285,3Com Park,outdoors,grass,5,5,59,74,10,0
286,Sun Devil Stadium,outdoors,grass,4,4,103,11,6,0
287,Lambeau Field,outdoors,grass,3,3,46,62,12,0
288,Dome at America's Center,dome,astroturf,1,1,N/A,N/A,N/A,N/A
289,Hubert H. Humphrey Metrodome,dome,astroturf,5,5,N/A,N/A,N/A,N/A
290,FedExField,outdoors,grass,3,3,57,51,19,0
291,Ralph Wilson Stadium,outdoors,astroturf,3,5,63,48,7,0
292,Ericsson Stadium,outdoors,grass,2,3,64,44,14,0
293,Foxboro Stadium,outdoors,grass,3,3,59,0,20,0
294,Giants Stadium,outdoors,grass,2,2,54,59,10,0
295,Sun Devil Stadium,outdoors,grass,2,3,104,13,20,0
296,Network Associates Coliseum,outdoors,grass,1,3,81,57,7,0
297,Invesco Field at Mile High,outdoors,grass,4,4,71,41,5,0
298,Alltel Stadium,outdoors,grass,3,4,72,0,12,0
299,Qualcomm Stadium,outdoors,grass,0,1,78,67,8,0
300,Veterans Stadium,outdoors,fieldturf,4,4,53,71,13,0
301,Giants Stadium,outdoors,grass,5,6,52,96,0,0
302,Louisiana Superdome,dome,astroturf,5,5,N/A,N/A,N/A,N/A
303,Cleveland Browns Stadium,outdoors,grass,5,6,45,48,12,24
304,Heinz Field,outdoors,grass,3,4,44,60,20,0
305,PSINet Stadium,outdoors,grass,2,3,55,38,11,N/A
306,Pro Player Stadium,outdoors,grass,4,4,88,69,0,0
307,Giants Stadium,outdoors,grass,6,6,55,38,16,N/A
308,Georgia Dome,dome,astroturf,2,4,N/A,N/A,N/A,N/A
309,Veterans Stadium,outdoors,fieldturf,2,3,53,43,17,0
310,Network Associates Coliseum,outdoors,grass,0,2,59,72,10,0
311,Invesco Field at Mile High,outdoors,grass,4,4,74,18,9,0
312,Ralph Wilson Stadium,outdoors,astroturf,1,1,45,51,16,0
313,Husky Stadium,outdoors,fieldturf,4,6,50,89,6,0
314,Raymond James Stadium,outdoors,grass,1,2,80,65,9,0
315,3Com Park,outdoors,grass,1,1,52,0,10,0
316,Pontiac Silverdome,dome,astroturf,0,0,N/A,N/A,N/A,N/A
317,Arrowhead Stadium,outdoors,grass,2,2,57,59,15,0
318,Dome at America's Center,dome,astroturf,3,4,N/A,N/A,N/A,N/A
319,Soldier Field,outdoors,grass,4,4,54,74,9,0
320,Hubert H. Humphrey Metrodome,dome,astroturf,3,4,N/A,N/A,N/A,N/A
321,Ericsson Stadium,outdoors,grass,4,4,71,96,16,0
322,Paul Brown Stadium,outdoors,grass,3,4,57,87,10,0
323,Lambeau Field,outdoors,grass,2,3,54,66,12,0
324,Foxboro Stadium,outdoors,grass,5,8,59,100,15,0
325,Georgia Dome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
326,Adelphia Coliseum,outdoors,grass,3,4,64,80,10,0
327,Giants Stadium,outdoors,grass,1,2,62,72,12,0
328,Husky Stadium,outdoors,fieldturf,2,2,54,90,7,0
329,RCA Dome,dome,astroturf,5,6,N/A,N/A,N/A,N/A
330,Texas Stadium,outdoors,astroturf,3,6,65,48,0,0
331,Alltel Stadium,outdoors,grass,3,5,66,0,13,0
332,Louisiana Superdome,dome,astroturf,4,5,N/A,N/A,N/A,N/A
333,RCA Dome,dome,astroturf,4,6,N/A,N/A,N/A,N/A
334,Pontiac Silverdome,dome,astroturf,5,6,N/A,N/A,N/A,N/A
335,Raymond James Stadium,outdoors,grass,2,2,83,70,9,0
336,FedExField,outdoors,grass,1,2,71,69,7,0
337,Paul Brown Stadium,outdoors,grass,1,3,68,61,8,0
338,Cleveland Browns Stadium,outdoors,grass,3,3,61,48,12,0
339,Giants Stadium,outdoors,grass,2,2,70,68,10,0
340,Qualcomm Stadium,outdoors,grass,3,4,66,76,8,0
341,Hubert H. Humphrey Metrodome,dome,astroturf,2,4,N/A,N/A,N/A,N/A
342,Sun Devil Stadium,outdoors,grass,4,4,88,17,2,0
343,Giants Stadium,outdoors,grass,4,6,61,58,7,0
344,Arrowhead Stadium,outdoors,grass,4,5,55,61,12,0
345,Pontiac Silverdome,dome,astroturf,3,4,N/A,N/A,N/A,N/A
346,PSINet Stadium,outdoors,grass,3,3,50,0,20,N/A
347,Raymond James Stadium,outdoors,grass,2,2,67,52,15,0
348,Ericsson Stadium,outdoors,grass,4,4,51,33,10,0
349,Dome at America's Center,dome,astroturf,6,7,N/A,N/A,N/A,N/A
350,Soldier Field,outdoors,grass,1,2,46,51,15,0
351,Qualcomm Stadium,outdoors,grass,3,7,62,86,7,0
352,Invesco Field at Mile High,outdoors,grass,3,3,72,24,9,0
353,Texas Stadium,outdoors,astroturf,2,2,70,39,5,0
354,FedExField,outdoors,grass,2,2,50,39,21,0
355,Veterans Stadium,outdoors,fieldturf,3,3,52,32,17,N/A
356,Husky Stadium,outdoors,fieldturf,3,5,43,82,7,0
357,Heinz Field,outdoors,grass,2,4,51,30,5,0
358,Georgia Dome,dome,astroturf,2,4,N/A,N/A,N/A,N/A
359,Ralph Wilson Stadium,outdoors,astroturf,3,4,54,80,20,0
360,Pro Player Stadium,outdoors,grass,5,6,75,93,17,0
361,Heinz Field,outdoors,grass,3,7,59,82,0,0
362,Lambeau Field,outdoors,grass,2,3,52,36,12,0
363,Adelphia Coliseum,outdoors,grass,1,3,67,36,7,0
364,Giants Stadium,outdoors,grass,3,6,58,47,5,0
365,Sun Devil Stadium,outdoors,grass,0,0,94,21,16,0
366,3Com Park,outdoors,grass,2,5,64,56,5,0
367,Soldier Field,outdoors,grass,0,0,54,45,10,0
368,Qualcomm Stadium,outdoors,grass,4,5,67,84,7,0
369,FedExField,outdoors,grass,2,2,65,42,6,0
370,Louisiana Superdome,dome,astroturf,3,4,N/A,N/A,N/A,N/A
371,Network Associates Coliseum,outdoors,grass,3,4,62,72,9,0
372,RCA Dome,dome,astroturf,3,3,N/A,N/A,N/A,N/A
373,Soldier Field,outdoors,grass,6,6,48,58,8,0
374,Foxboro Stadium,outdoors,grass,1,4,47,41,25,24
375,Giants Stadium,outdoors,grass,2,2,48,36,12,N/A
376,Dome at America's Center,dome,astroturf,2,3,N/A,N/A,N/A,N/A
377,Cleveland Browns Stadium,outdoors,grass,6,7,42,32,6,N/A
378,Pontiac Silverdome,dome,astroturf,3,3,N/A,N/A,N/A,N/A
379,Alltel Stadium,outdoors,grass,2,2,73,0,6,0
380,Georgia Dome,dome,astroturf,4,5,N/A,N/A,N/A,N/A
381,Invesco Field at Mile High,outdoors,grass,5,5,62,21,4,0
382,Veterans Stadium,outdoors,fieldturf,3,3,50,29,10,N/A
383,3Com Park,outdoors,grass,4,4,68,70,14,0
384,Sun Devil Stadium,outdoors,grass,2,3,83,36,7,0
385,Husky Stadium,outdoors,fieldturf,4,4,50,100,0,0
386,Adelphia Coliseum,outdoors,grass,4,5,52,50,6,N/A
387,PSINet Stadium,outdoors,grass,3,3,54,0,5,0
388,Ralph Wilson Stadium,outdoors,astroturf,5,6,55,56,14,0
389,Ericsson Stadium,outdoors,grass,4,4,60,64,6,0
390,Paul Brown Stadium,outdoors,grass,2,2,66,63,4,0
391,Lambeau Field,outdoors,grass,5,5,59,77,16,0
392,Pro Player Stadium,outdoors,grass,1,2,81,64,14,0
393,Louisiana Superdome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
394,Texas Stadium,outdoors,astroturf,6,8,70,81,5,0
395,Heinz Field,outdoors,grass,2,3,57,0,0,0
396,Network Associates Coliseum,outdoors,grass,3,3,65,72,7,0
397,Sun Devil Stadium,outdoors,grass,2,2,79,25,0,0
398,Invesco Field at Mile High,outdoors,grass,2,2,44,63,11,N/A
399,Raymond James Stadium,outdoors,grass,5,6,80,56,10,0
400,Foxboro Stadium,outdoors,grass,2,3,49,52,15,0
401,Hubert H. Humphrey Metrodome,dome,astroturf,3,4,N/A,N/A,N/A,N/A
402,Pontiac Silverdome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
403,Texas Stadium,outdoors,astroturf,5,5,72,58,0,0
404,RCA Dome,dome,astroturf,2,3,N/A,N/A,N/A,N/A
405,Arrowhead Stadium,outdoors,grass,2,3,49,76,5,0
406,Ralph Wilson Stadium,outdoors,astroturf,2,2,58,64,18,0
407,Ericsson Stadium,outdoors,grass,1,1,73,75,12,0
408,Cleveland Browns Stadium,outdoors,grass,4,6,55,72,15,0
409,Veterans Stadium,outdoors,fieldturf,3,4,69,61,20,0
410,Adelphia Coliseum,outdoors,grass,3,4,63,52,6,0
411,Foxboro Stadium,outdoors,grass,1,4,62,100,20,0
412,Qualcomm Stadium,outdoors,grass,3,5,63,77,9,0
413,Alltel Stadium,outdoors,grass,1,3,79,0,7,0
414,Giants Stadium,outdoors,grass,1,1,64,70,14,0
415,Hubert H. Humphrey Metrodome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
416,Dome at America's Center,dome,astroturf,4,5,N/A,N/A,N/A,N/A
417,Arrowhead Stadium,outdoors,grass,4,4,35,49,7,0
418,Heinz Field,outdoors,grass,1,3,46,66,0,0
419,Paul Brown Stadium,outdoors,grass,5,7,51,74,8,0
420,Cleveland Browns Stadium,outdoors,grass,1,1,44,62,5,0
421,Pro Player Stadium,outdoors,grass,1,1,76,82,6,0
422,Giants Stadium,outdoors,grass,4,4,53,68,10,0
423,PSINet Stadium,outdoors,grass,6,7,51,60,9,0
424,Soldier Field,outdoors,grass,3,7,51,58,13,0
425,Louisiana Superdome,dome,astroturf,5,5,N/A,N/A,N/A,N/A
426,Husky Stadium,outdoors,fieldturf,3,6,41,82,12,0
427,Georgia Dome,dome,astroturf,2,5,N/A,N/A,N/A,N/A
428,Network Associates Coliseum,outdoors,grass,5,7,58,72,20,0
429,FedExField,outdoors,grass,2,3,52,52,9,0
430,3Com Park,outdoors,grass,0,3,45,0,25,0
431,Alltel Stadium,outdoors,grass,2,5,56,0,10,0
432,Hubert H. Humphrey Metrodome,dome,astroturf,1,1,N/A,N/A,N/A,N/A
433,Raymond James Stadium,outdoors,grass,4,4,83,68,5,0
434,Ralph Wilson Stadium,outdoors,astroturf,3,3,40,73,6,0
435,Paul Brown Stadium,outdoors,grass,1,2,42,65,8,0
436,Texas Stadium,outdoors,astroturf,4,5,47,35,5,0
437,Lambeau Field,outdoors,grass,1,3,33,63,12,22
438,Foxboro Stadium,outdoors,grass,5,7,37,90,15,28
439,Dome at America's Center,dome,astroturf,2,2,N/A,N/A,N/A,N/A
440,Veterans Stadium,outdoors,fieldturf,1,3,43,82,10,N/A
441,Georgia Dome,dome,astroturf,1,2,N/A,N/A,N/A,N/A
442,Sun Devil Stadium,outdoors,grass,3,6,71,17,8,0
443,Heinz Field,outdoors,grass,4,7,41,75,8,0
444,Network Associates Coliseum,outdoors,grass,2,3,54,66,15,0
445,Invesco Field at Mile High,outdoors,grass,2,3,38,38,3,N/A
446,Pro Player Stadium,outdoors,grass,2,2,74,78,6,0
447,Giants Stadium,outdoors,grass,3,3,46,47,18,N/A
448,Qualcomm Stadium,outdoors,grass,4,4,62,71,8,0
449,RCA Dome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
450,Arrowhead Stadium,outdoors,grass,7,10,49,96,0,0
451,Ralph Wilson Stadium,outdoors,astroturf,7,8,34,89,0,0
452,Soldier Field,outdoors,grass,3,3,45,93,10,0
453,Pontiac Silverdome,dome,astroturf,3,3,N/A,N/A,N/A,N/A
454,Giants Stadium,outdoors,grass,1,3,40,45,7,0
455,Cleveland Browns Stadium,outdoors,grass,4,4,44,67,8,0
456,3Com Park,outdoors,grass,0,1,52,74,0,0
457,Adelphia Coliseum,outdoors,grass,3,4,62,62,17,0
458,FedExField,outdoors,grass,4,6,46,46,0,0
459,Husky Stadium,outdoors,fieldturf,3,3,46,100,20,0
460,PSINet Stadium,outdoors,grass,2,4,42,0,4,0
461,Louisiana Superdome,dome,astroturf,2,2,N/A,N/A,N/A,N/A
