"#","Statium","Roof Type","Surface Type","Field Goals Made","Field Goals Missed","Temperture","Realtive Humitity","Wind Speed","Wind Chill"
3757,Paul Brown Stadium,outdoors,fieldturf,1,3,74,66,20,0
3758,FirstEnergy Stadium,outdoors,grass,3,5,71,70,23,N/A
3759,Ford Field,dome,fieldturf,1,2,N/A,N/A,N/A,N/A
3760,EverBank Field,outdoors,grass,4,4,85,0,5,0
3761,Gillette Stadium,outdoors,fieldturf,6,6,78,67,11,0
3762,MetLife Stadium,outdoors,fieldturf,4,4,70,94,4,0
3763,Lincoln Financial Field,outdoors,grass,5,6,79,62,4,0
3764,Mercedes-Benz Superdome,dome,sportturf,3,3,N/A,N/A,N/A,N/A
3765,University of Phoenix Stadium,retractable roof (closed),grass,3,4,N/A,N/A,N/A,N/A
3766,Sun Life Stadium,outdoors,grass,2,3,88,56,4,0
3767,CenturyLink Field,outdoors,fieldturf,3,4,70,67,7,0
3768,Bank of America Stadium,outdoors,grass,5,5,79,52,7,0
3769,MetLife Stadium,outdoors,fieldturf,6,6,60,47,10,0
3770,FedExField,outdoors,grass,1,1,64,88,4,0
3771,Soldier Field,outdoors,grass,2,3,70,67,3,0
3772,NRG Stadium,retractable roof (closed),grass,4,4,N/A,N/A,N/A,N/A
3773,MetLife Stadium,outdoors,fieldturf,2,3,80,46,0,0
3774,M&T Bank Stadium,outdoors,sportturf,2,3,78,0,4,0
3775,Lucas Oil Stadium,retractable roof (open),fieldturf,3,3,N/A,N/A,N/A,N/A
3776,Heinz Field,outdoors,grass,3,4,74,54,3,N/A
3777,Wembley Stadium,outdoors,grass,1,1,74,56,6,0
3778,Qualcomm Stadium,outdoors,grass,4,4,73,54,8,0
3779,TCF Bank Stadium,outdoors,fieldturf,4,5,82,0,0,0
3780,Levi's Stadium,outdoors,grass,4,4,72,51,4,0
3781,AT&T Stadium,retractable roof (closed),matrixturf,2,3,N/A,N/A,N/A,N/A
3782,Arrowhead Stadium,outdoors,grass,2,2,82,42,3,0
3783,Lambeau Field,outdoors,grass,1,1,62,98,6,0
3784,EverBank Field,outdoors,grass,4,4,71,30,10,0
3785,LP Field,outdoors,grass,2,2,67,31,13,N/A
3786,Lincoln Financial Field,outdoors,grass,2,2,59,37,16,N/A
3787,Bank of America Stadium,outdoors,grass,2,3,60,36,7,0
3788,Lucas Oil Stadium,retractable roof (open),fieldturf,4,4,N/A,N/A,N/A,N/A
3789,AT&T Stadium,retractable roof (closed),matrixturf,3,4,N/A,N/A,N/A,N/A
3790,Ford Field,dome,fieldturf,3,7,N/A,N/A,N/A,N/A
3791,Mercedes-Benz Superdome,dome,sportturf,4,4,N/A,N/A,N/A,N/A
3792,MetLife Stadium,outdoors,fieldturf,5,5,55,45,9,0
3793,Sports Authority Field at Mile High,outdoors,grass,4,5,71,20,10,0
3794,Qualcomm Stadium,outdoors,grass,1,1,91,11,8,0
3795,Levi's Stadium,outdoors,grass,6,6,85,28,1,0
3796,Gillette Stadium,outdoors,fieldturf,6,7,47,71,2,0
3797,FedExField,outdoors,grass,3,3,67,47,4,0
3798,NRG Stadium,retractable roof (closed),grass,2,3,N/A,N/A,N/A,N/A
3799,Ralph Wilson Stadium,outdoors,a_turf,3,4,55,45,6,0
3800,FirstEnergy Stadium,outdoors,grass,2,2,58,48,13,N/A
3801,Sun Life Stadium,outdoors,grass,3,3,86,63,13,0
3802,TCF Bank Stadium,outdoors,fieldturf,2,4,53,0,0,0
3803,MetLife Stadium,outdoors,fieldturf,2,2,61,37,5,0
3804,LP Field,outdoors,grass,3,4,67,87,7,N/A
3805,Raymond James Stadium,outdoors,grass,3,5,84,62,6,N/A
3806,Paul Brown Stadium,outdoors,fieldturf,6,8,60,61,5,0
3807,O.co Coliseum,outdoors,grass,1,2,77,35,5,0
3808,Georgia Dome,dome,fieldturf,4,4,N/A,N/A,N/A,N/A
3809,University of Phoenix Stadium,retractable roof (closed),grass,5,5,N/A,N/A,N/A,N/A
3810,CenturyLink Field,outdoors,fieldturf,6,6,60,81,6,0
3811,Lincoln Financial Field,outdoors,grass,2,2,57,47,5,0
3812,Edward Jones Dome,dome,astroplay,2,2,N/A,N/A,N/A,N/A
3813,Gillette Stadium,outdoors,fieldturf,6,7,64,93,9,0
3814,Soldier Field,outdoors,grass,2,4,50,64,10,N/A
3815,Edward Jones Dome,dome,astroplay,2,3,N/A,N/A,N/A,N/A
3816,Ralph Wilson Stadium,outdoors,a_turf,4,4,41,58,9,N/A
3817,Lucas Oil Stadium,retractable roof (open),fieldturf,2,2,N/A,N/A,N/A,N/A
3818,Ford Field,dome,fieldturf,4,4,N/A,N/A,N/A,N/A
3819,Lambeau Field,outdoors,grass,2,2,48,73,12,N/A
3820,EverBank Field,outdoors,grass,3,3,76,54,8,0
3821,M&T Bank Stadium,outdoors,sportturf,2,3,54,0,14,0
3822,FedExField,outdoors,grass,5,5,55,43,13,N/A
3823,Qualcomm Stadium,outdoors,grass,5,5,75,55,2,0
3824,AT&T Stadium,retractable roof (closed),matrixturf,1,1,N/A,N/A,N/A,N/A
3825,O.co Coliseum,outdoors,grass,3,3,69,71,6,0
3826,Sports Authority Field at Mile High,outdoors,grass,1,2,67,25,4,0
3827,Heinz Field,outdoors,grass,6,6,57,57,6,N/A
3828,Sports Authority Field at Mile High,outdoors,grass,0,1,68,24,3,0
3829,Wembley Stadium,outdoors,fieldturf,3,3,59,0,13,0
3830,Paul Brown Stadium,outdoors,fieldturf,5,5,62,32,6,0
3831,EverBank Field,outdoors,grass,4,5,76,45,6,0
3832,Gillette Stadium,outdoors,fieldturf,3,3,54,53,14,0
3833,MetLife Stadium,outdoors,fieldturf,4,4,59,44,16,0
3834,LP Field,outdoors,grass,4,4,73,45,2,0
3835,Raymond James Stadium,outdoors,grass,4,5,77,34,5,N/A
3836,Bank of America Stadium,outdoors,grass,5,5,77,38,9,0
3837,Arrowhead Stadium,outdoors,grass,2,3,70,73,8,0
3838,University of Phoenix Stadium,retractable roof (closed),grass,3,3,N/A,N/A,N/A,N/A
3839,FirstEnergy Stadium,outdoors,grass,5,5,55,53,20,N/A
3840,Heinz Field,outdoors,grass,2,2,62,28,12,N/A
3841,Mercedes-Benz Superdome,dome,sportturf,6,6,N/A,N/A,N/A,N/A
3842,AT&T Stadium,retractable roof (closed),matrixturf,3,3,N/A,N/A,N/A,N/A
3843,Bank of America Stadium,outdoors,grass,1,1,58,42,3,0
3844,Paul Brown Stadium,outdoors,fieldturf,2,2,42,42,3,N/A
3845,FirstEnergy Stadium,outdoors,grass,4,6,42,67,8,N/A
3846,Sun Life Stadium,outdoors,grass,3,4,70,29,16,0
3847,NRG Stadium,retractable roof (closed),grass,1,2,N/A,N/A,N/A,N/A
3848,Arrowhead Stadium,outdoors,grass,2,2,57,30,20,0
3849,TCF Bank Stadium,outdoors,fieldturf,2,2,50,0,10,0
3850,AT&T Stadium,retractable roof (closed),matrixturf,1,2,N/A,N/A,N/A,N/A
3851,Levi's Stadium,outdoors,grass,3,4,61,55,8,0
3852,Gillette Stadium,outdoors,fieldturf,3,4,35,63,19,0
3853,CenturyLink Field,outdoors,fieldturf,4,6,54,80,9,0
3854,Heinz Field,outdoors,grass,1,1,38,57,6,N/A
3855,MetLife Stadium,outdoors,fieldturf,5,5,55,26,6,0
3856,Paul Brown Stadium,outdoors,fieldturf,2,3,42,86,17,N/A
3857,Ralph Wilson Stadium,outdoors,a_turf,3,3,42,72,10,N/A
3858,Ford Field,dome,fieldturf,5,6,N/A,N/A,N/A,N/A
3859,MetLife Stadium,outdoors,fieldturf,4,6,58,36,8,0
3860,Mercedes-Benz Superdome,dome,sportturf,3,3,N/A,N/A,N/A,N/A
3861,M&T Bank Stadium,outdoors,sportturf,0,0,57,37,7,0
3862,Raymond James Stadium,outdoors,grass,5,5,64,73,5,N/A
3863,Wembley Stadium,outdoors,grass,1,2,50,71,3,N/A
3864,O.co Coliseum,outdoors,grass,3,3,68,65,6,0
3865,University of Phoenix Stadium,retractable roof (closed),grass,1,2,N/A,N/A,N/A,N/A
3866,CenturyLink Field,outdoors,fieldturf,2,2,50,88,0,0
3867,Lambeau Field,outdoors,grass,2,2,34,90,5,29
3868,Lincoln Financial Field,outdoors,grass,1,1,52,61,5,N/A
3869,Sun Life Stadium,outdoors,grass,5,6,74,76,4,0
3870,Edward Jones Dome,dome,astroplay,5,5,N/A,N/A,N/A,N/A
3871,Soldier Field,outdoors,grass,2,4,31,76,12,22
3872,Mercedes-Benz Superdome,dome,sportturf,3,3,N/A,N/A,N/A,N/A
3873,Bank of America Stadium,outdoors,grass,5,7,48,28,3,N/A
3874,FirstEnergy Stadium,outdoors,grass,3,5,34,57,9,27
